ID;Name;URL;Img;Strength;Served;Difficulty;Bourbon / American Whiskey;Tequila;Gin;Liqueurs;Rye Whiskey;Vodka;Brandy / Cognac;Cachaça;Mezcal;Scotch;Rum;Irish Whiskey;Vermouth / Aperitif Wine;Canadian Whisky;Absinthe;Beer;Whiskey;Non-alcoholic;Pisco;Japanese Whisky;Salty/Savory;Sweet;Creamy;Spicy;Sour;Fruity/Citrus-forward;Spirit-forward;Bitter;Bubbly;Modern Classics;Classics;Martinis;Margaritas;Hot;Tiki / Tropical;Punches;Frozen / Blended;Shots;Non-Alcoholic;Stirred;Shaken;Blended;Cooked/Heated;
20;Ten French 75;http://liquor.com/recipes/ten-french-75/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/french-75-tanq.jpg;0.5;0.5;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.07;0.0;0.0;0.0;0.07;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
21;Ten Negroni;http://liquor.com/recipes/ten-negroni/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/negroni-tanq.jpg;0.5;0.33;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
22;Head of Steam;http://liquor.com/recipes/head-of-steam/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/recipe-head-of-steam-cocktail.jpg;1.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
23;50/50 Martini;http://liquor.com/recipes/5050-martini/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/50-50-martini-tanq.jpg;0.5;0.5;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
24;Perfect Ten Martini;http://liquor.com/recipes/perfect-ten-martini/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/perfect-ten-martini-tanq.jpg;0.5;0.5;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
25;Ten Rickey;http://liquor.com/recipes/ten-rickey/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/gin-rickey-tanq.jpg;0.5;0.33;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.07;0.0;0.0;0.0;0.07;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
26;Bramble #10;http://liquor.com/recipes/bramble-10/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/bramble-tanq.jpg;0.25;0.33;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.07;0.07;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
27;No. 3 Gin Martini;http://liquor.com/recipes/no-3-gin-martini/;http://liquor.s3.amazonaws.com/wp-content/uploads/2012/11/no-3-gin-martini.jpg;1.0;0.5;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
28;Black Widow;http://liquor.com/recipes/black-widow/;http://liquor.s3.amazonaws.com/wp-content/uploads/2010/11/black-widow.jpg;0.5;0.33;1.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.07;0.07;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
29;Café Corrección Ponche;http://liquor.com/recipes/cafe-correccion-ponche/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/Recipe-CAF�-CORRECCI�N-PONCHE.jpg;0.5;0.33;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
