ID;Name;URL;Strength;Served;Difficulty;Bourbon / American Whiskey;Tequila;Gin;Liqueurs;Rye Whiskey;Vodka;Brandy / Cognac;Cachaça;Mezcal;Scotch;Rum;Irish Whiskey;Vermouth / Aperitif Wine;Canadian Whisky;Absinthe;Beer;Whiskey;Non-alcoholic;Pisco;Japanese Whisky;Salty/Savory;Sweet;Creamy;Spicy;Sour;Fruity/Citrus-forward;Spirit-forward;Bitter;Bubbly;Modern Classics;Classics;Martinis;Margaritas;Hot;Tiki / Tropical;Punches;Frozen / Blended;Shots;Non-Alcoholic;Stirred;Shaken;Blended;Cooked/Heated
30;Mudslide;http://liquor.com/recipes/mudslide/;0.5;0;1;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0.04;0
31;The Zapatero;http://liquor.com/recipes/the-zapatero/;0.5;0.33;0.5;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
32;Smokin’ Mary;http://liquor.com/recipes/smokin-mary/;0.5;0.33;1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
33;Rooster-Tail;http://liquor.com/recipes/rooster-tail/;1;0.33;0.5;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
34;Sin Cyn;http://liquor.com/recipes/sin-cyn/;0.5;0.33;0.5;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
35;Chopin Harvest Martini;http://liquor.com/recipes/chopin-harvest-martini/;0.5;0.5;0.5;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0.07;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
36;Polar Bear;http://liquor.com/recipes/polar-bear/;0.5;0.5;1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
37;10 Cane Hemingway Daiquiri;http://liquor.com/recipes/10-cane-hemingway-daiquiri/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.04;0;0
38;Michael Collins Honeysuckle;http://liquor.com/recipes/michael-collins-honeysuckle/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
39;Rhubarb Fix;http://liquor.com/recipes/rhubarb-fix/;0.5;0.33;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
40;Breakfast Martini;http://liquor.com/recipes/breakfast-martini/;0.5;0.5;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0.04;0;0
41;Rhubarb & Strawberry Collins;http://liquor.com/recipes/rhubarb-strawberry-collins/;0.5;0.33;1;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0.07;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
42;Spiced Rhubarb Gimlet;http://liquor.com/recipes/spiced-rhubarb-daiquiri/;0.5;0.5;1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
43;Raspberry Caipirinha;http://liquor.com/recipes/raspberry-caipirinha/;0.5;0.33;0.5;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0.1;0;0;0;0;0;0.04;0;0
44;Neighborhood Negroni;http://liquor.com/recipes/neighborhood-negroni/;1;0.415;0.5;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0.04;0;0;0
45;Guadalajara Silver;http://liquor.com/recipes/guadalajara-silver/;0.5;0.33;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0.04;0;0
46;Ancho Margarita;http://liquor.com/recipes/ancho-margarita/;0.5;0.33;0.5;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0.07;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.04;0;0
47;Chalchihuitl;http://liquor.com/recipes/chalchihuitl/;0.5;0.33;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0.07;0.07;0.07;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.04;0;0
48;Barbacoa;http://liquor.com/recipes/barbacoa/;0.5;0.33;0.5;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
49;Rum Rangoon;http://liquor.com/recipes/rum-rangoon/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.04;0;0
50;Nouveau Sangaree;http://liquor.com/recipes/nouveau-sangaree/;1;0.5;0.5;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
51;South Side;http://liquor.com/recipes/south-side-2/;0.5;0.5;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
52;Serpent-less Swizzle;http://liquor.com/recipes/serpent-less-swizzle/;0.5;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
53;Emerald Isle of the Caribbean;http://liquor.com/recipes/emerald-isle-of-the-caribbean/;0.5;1;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0;0.07;0;0;0;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.04
54;The Good Cork;http://liquor.com/recipes/the-good-cork/;1;0.33;0.5;0;0;0;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
55;Baileys Mocha Monkey;http://liquor.com/recipes/baileys-mocha-monkey/;0.25;0;0.5;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0.04;0
56;Disaronno Sour;http://liquor.com/recipes/disaronno-sour/;0.5;0.5;0.5;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
57;Painkiller;http://liquor.com/recipes/painkiller/;0.5;0.33;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0.07;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0.04;0;0;0
58;Perfect Pearl Manhattan;http://liquor.com/recipes/perfect-pearl-manhattan/;0.5;0.5;0.5;0.1;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0.04;0;0;0
59;The Ginger Beer Margarita;http://liquor.com/recipes/the-ginger-beer-margarita/;0.5;0.33;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0.07;0;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0.04;0;0;0
60;Slim Organic Margarita (La Flaca);http://liquor.com/recipes/slim-organic-margarita-la-flaca/;0.5;0.5;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0.04;0;0
61;The Casa Noble Old Fashioned;http://liquor.com/recipes/the-casa-noble-old-fashioned/;1;0.33;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
62;Necromancer;http://liquor.com/recipes/necromancer/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
63;Grand Coffee;http://liquor.com/recipes/grand-coffee/;0.25;1;0.5;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0.04;0;0;0
64;Bloody Maria;http://liquor.com/recipes/bloody-maria/;0.5;0.33;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
